STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Population,Density,Total_IPC_per_100k,Murder_per_100k
DELHI UT,North,2006,28,21,5,22,0,22,41,34,7,0,12,29,78,701,269,432,4,39,124,6,3,135,8,27,5,128,0,10,1590,3016,887978,14557,339.65,3.15
DELHI UT,North West,2006,128,151,12,169,0,169,437,287,150,4,43,105,456,2690,1769,921,12,48,186,3,4,358,28,137,11,412,0,48,5704,11146,3656539,8254,304.82,3.5
DELHI UT,New Delhi,2006,7,8,0,6,0,6,26,17,9,0,3,20,42,754,262,492,15,28,239,10,1,29,0,31,13,16,0,1,1039,2288,142004,4057,1611.22,4.93
DELHI UT,South,2006,66,69,13,87,0,87,215,169,46,2,55,117,350,3820,2302,1518,12,92,379,1,5,206,19,141,34,215,0,49,4907,10854,2731929,11060,397.3,2.42
DELHI UT,South West,2006,52,45,11,79,0,79,161,128,33,0,4,48,345,1739,915,824,9,49,199,0,7,134,24,84,25,240,0,19,3310,6584,2292958,5446,287.14,2.27
DELHI UT,West,2006,66,63,10,88,0,88,155,128,27,2,16,39,272,2310,1386,924,5,66,173,8,2,306,17,97,5,260,0,37,3371,7368,2543243,19563,289.71,2.6
DELHI UT,Central,2007,27,29,6,22,0,22,70,45,25,1,7,28,63,1069,538,531,4,41,149,1,1,136,6,38,9,91,0,8,1442,3248,582320,27730,557.77,4.64
DELHI UT,East,2007,34,61,8,73,0,73,145,102,43,7,27,102,196,2239,1183,1056,17,35,201,4,3,218,16,112,24,202,0,18,2274,6016,1709346,27132,351.95,1.99
DELHI UT,North East,2007,66,74,9,89,0,89,241,200,41,2,11,55,206,1287,732,555,2,32,91,5,0,247,17,120,13,249,0,48,2257,5121,2241624,36155,228.45,2.94
DELHI UT,North,2007,22,41,9,33,0,33,64,41,23,5,11,33,84,747,300,447,7,51,182,3,3,133,6,43,30,89,0,6,1750,3352,887978,14557,377.49,2.48
DELHI UT,North West,2007,57,52,11,51,0,51,208,120,88,4,22,63,272,1841,1206,635,6,31,199,2,1,141,7,64,3,151,0,10,1993,5189,3656539,8254,141.91,1.56
DELHI UT,New Delhi,2007,4,7,1,7,0,7,12,9,3,1,0,23,53,698,215,483,7,29,284,7,3,28,0,23,10,14,0,1,983,2195,142004,4057,1545.73,2.82
DELHI UT,South,2007,68,84,11,83,0,83,256,177,79,2,110,75,412,3179,1742,1437,19,102,348,6,5,193,22,169,36,275,0,67,4892,10414,2731929,11060,381.2,2.49
DELHI UT,South West,2007,51,43,8,51,0,51,148,111,37,7,8,47,304,1802,960,842,9,41,154,2,8,147,19,85,14,222,0,18,3633,6821,2292958,5446,297.48,2.22
DELHI UT,West,2007,60,37,14,64,0,64,169,117,52,0,11,38,232,2020,1232,788,3,64,199,3,2,257,16,102,12,285,0,28,2775,6391,2543243,19563,251.29,2.36
DELHI UT,Central,2008,34,33,4,30,0,30,84,61,23,0,6,33,92,1392,792,600,2,32,144,2,0,208,6,38,12,81,0,12,855,3100,582320,27730,532.35,5.84
DELHI UT,East,2008,49,51,1,73,0,73,191,125,66,5,13,74,180,2471,1490,981,13,34,137,4,5,217,21,93,14,184,0,168,1542,5540,1709346,27132,324.1,2.87
DELHI UT,North East,2008,92,50,12,32,0,32,210,169,41,0,5,47,182,1518,995,523,7,31,71,1,6,302,17,77,23,172,0,170,1489,4514,2241624,36155,201.37,4.1
DELHI UT,North,2008,25,18,7,20,0,20,80,61,19,2,3,56,75,932,422,510,4,39,138,5,2,109,4,35,9,79,0,13,1458,3113,887978,14557,350.57,2.82
DELHI UT,North West,2008,54,48,2,59,0,59,137,103,34,3,11,85,250,1760,1143,617,2,18,76,0,5,173,12,48,8,82,0,17,1354,4204,3656539,8254,114.97,1.48
DELHI UT,New Delhi,2008,9,3,1,3,0,3,19,14,5,0,0,14,46,696,244,452,11,12,146,7,2,41,1,18,3,9,0,1,817,1859,142004,4057,1309.12,6.34
DELHI UT,South,2008,37,18,5,37,0,37,70,51,19,1,23,42,262,1958,1228,730,8,36,159,1,3,103,8,52,16,76,0,21,1885,4821,2731929,11060,176.47,1.35
DELHI UT,South West,2008,57,36,6,38,0,38,87,66,21,2,20,37,136,1113,725,388,7,19,62,4,4,131,9,39,7,109,0,24,1998,3945,2292958,5446,172.05,2.49
DELHI UT,West,2008,46,30,8,54,0,54,145,106,39,2,5,39,231,2092,1298,794,4,41,118,4,6,242,14,77,6,172,0,19,1931,5286,2543243,19563,207.84,1.81
DELHI UT,Central,2009,28,25,8,28,0,28,93,49,44,0,1,33,107,1375,789,586,4,34,120,5,1,174,6,34,5,62,0,6,684,2833,582320,27730,486.5,4.81
DELHI UT,East,2009,56,50,5,52,0,52,299,187,112,9,2,52,196,3015,2022,993,9,41,146,4,8,231,10,81,10,121,0,194,1788,6379,1709346,27132,373.18,3.28
DELHI UT,North East,2009,74,56,5,47,0,47,375,246,129,5,0,53,117,2086,1434,652,7,22,100,2,3,274,15,67,9,138,0,182,1083,4720,2241624,36155,210.56,3.3
DELHI UT,North,2009,44,19,6,19,0,19,140,81,59,1,0,24,77,1107,488,619,4,30,108,5,2,132,8,35,18,49,0,11,1069,2908,887978,14557,327.49,4.96
DELHI UT,North West,2009,56,48,4,54,0,54,218,137,81,6,12,118,233,2159,1301,858,6,21,101,0,4,150,13,39,0,120,0,21,1293,4676,3656539,8254,127.88,1.53
DELHI UT,New Delhi,2009,5,3,2,6,0,6,46,17,29,2,0,14,45,581,197,384,3,26,127,12,1,31,1,17,7,7,0,68,488,1492,142004,4057,1050.67,3.52
DELHI UT,South,2009,42,16,4,42,0,42,133,97,36,0,28,36,241,2506,1693,813,7,28,168,3,1,110,10,45,23,61,0,25,1824,5353,2731929,11060,195.94,1.54
DELHI UT,South West,2009,65,27,15,52,0,52,241,170,71,4,1,44,133,1341,851,490,5,14,81,1,0,118,17,53,3,79,0,21,1295,3610,2292958,5446,157.44,2.83
DELHI UT,West,2009,49,35,19,63,0,63,328,225,103,2,8,46,192,2151,1422,729,3,24,135,1,5,231,21,38,6,217,0,14,1523,5111,2543243,19563,200.96,1.93
DELHI UT,Central,2010,25,11,3,20,0,20,126,62,64,0,0,35,65,1350,791,559,5,20,352,3,1,152,2,25,3,62,0,9,559,2828,582320,27730,485.64,4.29
DELHI UT,East,2010,57,54,8,47,0,47,357,192,165,7,0,81,204,3443,2617,826,14,26,174,1,7,196,12,83,8,163,0,182,1599,6723,1709346,27132,393.31,3.33
DELHI UT,North East,2010,68,27,7,51,0,51,458,252,206,5,1,57,81,2544,1821,723,6,12,90,0,5,276,24,68,5,216,0,162,899,5062,2241624,36155,225.82,3.03
DELHI UT,North,2010,30,16,7,7,0,7,161,88,73,0,0,24,75,1166,604,562,1,25,109,1,7,142,8,23,8,63,0,19,997,2889,887978,14557,325.35,3.38
DELHI UT,North West,2010,60,49,4,50,0,50,260,132,128,8,5,178,225,2411,1472,939,2,20,112,0,5,177,11,62,5,163,0,24,1185,5016,3656539,8254,137.18,1.64
DELHI UT,New Delhi,2010,6,4,2,16,0,16,29,21,8,1,0,19,33,579,194,385,3,18,97,14,1,30,0,20,10,2,0,65,503,1452,142004,4057,1022.51,4.23
DELHI UT,South,2010,35,21,5,59,0,59,240,144,96,4,12,47,203,2454,1677,777,0,30,200,5,4,104,9,66,10,79,0,35,1686,5308,2731929,11060,194.29,1.28
DELHI UT,South West,2010,63,20,3,54,0,54,363,203,160,1,0,30,83,1339,919,420,7,15,92,0,2,144,24,28,5,94,0,11,1125,3503,2292958,5446,152.77,2.75
DELHI UT,West,2010,63,29,14,72,0,72,350,192,158,0,1,48,156,2588,1752,836,1,29,161,2,11,210,19,60,7,191,0,41,1422,5475,2543243,19563,215.28,2.48
DELHI UT,Central,2011,25,15,10,16,0,16,154,89,65,0,0,26,39,1308,831,477,2,21,143,2,0,146,3,32,4,29,0,7,469,2451,582320,27730,420.9,4.29
DELHI UT,East,2011,54,53,6,55,0,55,393,226,167,7,1,67,154,3490,2405,1085,10,21,193,3,5,190,14,78,17,160,0,194,1839,7004,1709346,27132,409.75,3.16
DELHI UT,North East,2011,66,43,9,69,0,69,530,285,245,5,5,55,76,2702,1812,890,3,17,101,0,1,288,21,88,21,254,0,165,1215,5734,2241624,36155,255.8,2.94
DELHI UT,North,2011,38,19,3,11,0,11,177,84,93,1,1,38,59,1176,614,562,1,32,153,4,2,133,4,15,10,88,0,33,843,2841,887978,14557,319.94,4.28
DELHI UT,North West,2011,51,36,2,58,0,58,331,177,154,4,0,89,180,2268,1554,714,1,18,165,1,3,132,10,48,13,117,0,31,1331,4889,3656539,8254,133.71,1.39
DELHI UT,New Delhi,2011,6,4,3,2,0,2,33,17,16,1,0,12,38,418,166,252,3,22,126,15,0,18,1,17,12,5,0,82,363,1181,142004,4057,831.67,4.23
DELHI UT,South,2011,30,25,5,65,0,65,222,143,79,1,5,31,203,2252,1457,795,4,36,211,3,2,124,11,50,29,59,0,35,1738,5141,2731929,11060,188.18,1.1
DELHI UT,South West,2011,51,44,5,69,0,69,391,238,153,0,1,52,158,1234,818,416,10,16,172,4,6,131,11,56,10,144,0,14,1204,3783,2292958,5446,164.98,2.22
DELHI UT,West,2011,64,45,12,73,0,73,453,254,199,3,5,43,101,2578,1819,759,5,38,225,0,7,261,13,65,8,287,0,307,1290,5883,2543243,19563,231.32,2.52
DELHI UT,Central,2012,35,25,10,31,0,31,180,95,85,2,3,47,101,1403,846,557,6,39,189,4,7,133,4,47,12,57,0,7,631,2973,582320,27730,510.54,6.01
DELHI UT,East,2012,48,53,9,90,0,90,503,251,252,4,0,57,172,3258,2137,1121,14,33,211,1,17,161,7,96,26,202,0,35,2426,7423,1709346,27132,434.26,2.81
DELHI UT,North East,2012,49,65,11,78,0,78,510,263,247,4,1,58,57,2616,1944,672,5,12,136,4,2,242,25,69,9,293,0,145,1512,5903,2241624,36155,263.34,2.19
DELHI UT,North,2012,25,17,2,14,0,14,153,84,69,0,0,45,97,1025,612,413,5,37,127,3,3,92,6,29,10,70,0,13,927,2700,887978,14557,304.06,2.82
DELHI UT,North West,2012,60,37,8,64,0,64,357,184,173,6,0,65,166,1901,1329,572,0,19,168,3,3,166,12,19,14,212,0,9,1253,4542,3656539,8254,124.22,1.64
DELHI UT,New Delhi,2012,9,6,1,5,0,5,28,13,15,0,0,9,25,374,138,236,12,14,132,16,1,16,0,29,7,4,0,67,302,1057,142004,4057,744.35,6.34
DELHI UT,South,2012,39,19,3,70,0,70,245,134,111,2,0,52,235,2126,1354,772,3,33,256,1,4,101,17,59,36,68,0,25,1651,5045,2731929,11060,184.67,1.43
